"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Link","Abstract","Author Keywords","Index Keywords"
"Speer A.B.","Speer, Andrew B. (55974594500)","55974594500","Empirical attrition modelling and discrimination: Balancing validity and group differences","2024","Human Resource Management Journal","34","1","","1","19","18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104677610&doi=10.1111%2f1748-8583.12355&partnerID=40&md5=1344ce53f1bb21a069765d65f2f04d24","Attrition models combine variables into statistical algorithms to understand and predict employee turnover. People analytics teams and external vendors use attrition models to offer insights and to develop organisational interventions. However, if attrition models or other data-driven models inform employment decisions, model scores may then be subjected to civil rights laws and diversity concerns resulting from group differences in scores. This paper discusses adverse impact when building attrition models, outlining how researchers test for adverse impact in this context, strategies to reduce group differences and how attrition modelling and other human resources ‘big data’ predictions fit within larger validity frameworks. Procedures were applied to field data in an applied demonstration of an attrition model with disparate impact. Model revisions resulted in adverse impact reductions while simultaneously maintaining model validity. Collectively, this paper provides timely attention to important aspects of the people analytics, turnover and legal domains. © 2021 John Wiley & Sons Ltd.","adverse impact; attrition modelling; big data; discrimination; HR analytics; machine learning; people analytics; turnover",""
"Kaur A.; Gangwar V.P.","Kaur, Amandeep (57965503100); Gangwar, Veer P. (57215569097)","57965503100; 57215569097","Identifying the effect of motivation on employee job performance in people analytics: A review of the retail sector","2023","HR Analytics in an Era of Rapid Automation","","","","168","188","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169529682&doi=10.4018%2f978-1-6684-8942-0.ch012&partnerID=40&md5=b22a835c46e141e45735414d6751c64a","The main emphasis of this chapter is to identify the effect of motivation on variables of employee job performance in people analytics, which is seen as one of the major initiatives in human resources. The secondary sources have been utilised to identify the sources of the thematic approach. Considering this, the study explains how to determine the moderating factors in people analytics. The chapter offers an introduction to problem identification and focuses on detailed literature that helps in finding factors relevant according to the theme that has been elaborated in a thematic approach. A part of the Prisma model has been used to explain the four stages of literature identification. The moderating factors have been better explained through the case studies, and one case study has been explained in the context of an Indian scenario. While explaining the moderating factors, thematic methods have been used using manual screening. The major highlights have been reviewed, discussed, and summarised. © 2023, IGI Global. All rights reserved.","",""
"Kameswari J.; Palivela H.; Settur S.; Solanki P.","Kameswari, Jada (58769547500); Palivela, Hemant (55786442800); Settur, Sreekanth (58769547600); Solanki, Poonam (58769547700)","58769547500; 55786442800; 58769547600; 58769547700","Identification, Assessment and Optimisation of Key Impact Variables in People Analytics Using AI","2023","The Adoption and Effect of Artificial Intelligence on Human Resources Management, Part A","","","","245","282","37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180044025&doi=10.1108%2f978-1-80382-027-920231013&partnerID=40&md5=2ec766be1b46c56cd4818df6a634a89a","Background: Human resource management (HRM) is the tactical method for a business enterprise’s optimistic and systemic administration. This study aims to identify the common and major triggering attributes and the knowledge gap between HRM and an organisation’s employee attrition rate. Method: The employee Attrition Case Study Dataset used is an anecdotal data set that tries to figure out relevant variables that determine employee behavioural aspects towards attrition. This study investigates why attrition occurs, the major triggering attributes for employee turnover, and how it might be anticipated to employ artificial intelligence (AI) to avert corporate losses. Results: Employees’ monthly income, age, average monthly hours, distance from home, total working years, years at the company, per cent of salary hike, number of companies worked, stock options level, job role and other factors are taken into consideration. A feature importance extraction framework was devised to investigate the various dormant factors. The findings also show feasible hypotheses that help enhance employee engagement, reinvent the worker dynamic, and higher levels of risk decrease attrition rate. Implications: Employees’ monthly income, age, average monthly hours, distance from home, etc., are all major variables in employee attrition in the Indian IT business. This research adds to the theory development of behavioural elements in people analytics based on AI. Purpose: Can we predict employee attrition through employee behavioural patterns advancement using AI tools. © 2023 by Jada Kameswari, Hemant Palivela, Sreekanth Settur and Poonam Solanki.","Advanced Ai tools; Artificial intelligence; Behavioural aspects; Employee attrition; Human resources management; People analytics",""
"Rai A.; Singh L.B.","Rai, Anjali (58769760300); Singh, Lata Bajpai (57200219324)","58769760300; 57200219324","Artificial Intelligence-based People Analytics Transforming Human Resource Management Practices","2023","The Adoption and Effect of Artificial Intelligence on Human Resources Management, Part A","","","","229","244","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173947184&doi=10.1108%2f978-1-80382-027-920231012&partnerID=40&md5=51efb01aece1b1e4d55ce6e44011ade0","Introduction: The rapid growth of high technology has urged many organisations to dynamically look for innovative ways, ideas, testing, and ingenious solution in improving their current product, process, system, and technology. For contemporary business, artificial intelligence (AI)-based people analytics is an instrument currently employed to develop a better prosperous future. Purpose: The study aims to investigate the usage of AI in human resource management (HRM) practices. It also examines the benefits and challenges of using AI in implementing people analytics in organisations. Methodology: This chapter contains a systemic review of articles and papers on analytics. The presented qualitative study did a literature review based on the articles published in the last five years and extracted from the Scopus database. Findings: This chapter indicated that AI-based people analytics is on the verge of changing various aspects of HRM practices better to furnish it for a vibrant, ever-changing workplace. It concludes different usage of AI in people analytics for better managing human resources (HR) at the workplace. Also explored the benefits and challenges of implementing AI in the people analytics domain. Implications: This chapter will help understand ongoing practices of AIenabled process benefits and challenges. This insight will help develop a better AI-enabled function for a better decision-making system. The future scope of the study is how to overcome the challenges. © 2023 by Anjali Rai and Lata Bajpai Singh.","Artificial intelligence; Change management; Human resource management; Job evaluation; Organisational development; People analytics",""
"Pandey S.; Mehta J.","Pandey, Shweta (57954843100); Mehta, Jalpa (57214277221)","57954843100; 57214277221","HRPA: Human Resource Prediction Analytics","2022","Proceedings of the 2022 3rd International Conference on Intelligent Computing, Instrumentation and Control Technologies: Computational Intelligence for Smart Systems, ICICICT 2022","","","","721","726","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141404501&doi=10.1109%2fICICICT54557.2022.9917576&partnerID=40&md5=26f1d244e66ac50f1879ea62274012b3","Each company tries its hardest to make the best use of its employees in order to accomplish the business's profitability. However, they encounter a number of issues unique to their best employees, which is frequently where people analytics comes into play. Day-to-day operations, procedural efficiencies, and other strategic operational challenges are handled by HR analytics. As a result, HR analytics considers all components of an organization at a high level, whereas work force analytics concentrates on personnel data such as engagement, job satisfaction, and success. The wide category of HR analytics includes labor force analytics. Employees leave for a number of reasons, including dissatisfaction with their pay, stagnant career advancement, and so on. A great defeat is possible for a firm to be profitable not just in terms of money, but also in terms of losing valuable employees. If the company determines whether or not that employee should be promoted, predicts what proportion of earnings that employee should receive, and determines whether or not that employee will leave the company in the near future, the company will work on employee retention in advance to keep their valuable and hardworking employees. Machine learning approaches might be used to forecast staff turnover and retention. Each modern organization accumulates a wide range of employee data; We'll utilize this data, analyze it, and extract insights from it so that the firm can make better decisions about how to conduct employees job.  © 2022 IEEE.","Cross Industry Standard Process for Data mining (CRISP-DM); HR ANALYTICS","Behavioral research; Job satisfaction; Profitability; Cross industry; Cross industry standard process for data mining; Day-to-day operations; HR ANALYTICS; Industry standards; Labor force; Operational challenges; Resource prediction; Standards process; Work force; Data mining"
"Singh A.; Singh H.; Singh A.","Singh, Anurag (57202898292); Singh, Hardeep (57210341195); Singh, Ashutosh (55726468800)","57202898292; 57210341195; 55726468800","People Analytics: Augmenting Horizon from Predictive Analytics to Prescriptive Analytics","2022","EAI/Springer Innovations in Communication and Computing","","","","145","153","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122440150&doi=10.1007%2f978-3-030-82763-2_13&partnerID=40&md5=d68f540f153b291eac282ef024ebbeaf","People analytics or HR analytics have become the lifeblood of the mainstream HR tech. It has been playing a vital role in HR decision-making. With its varied functionalities, it is benefitting the organization in terms of task automation, improving employee experiences, measuring performance and analysing high employee turnover, etc. In the current business scenario analytics is the most important tool needed by a company to gain insights to take intelligent business decision. From static to descriptive, descriptive to predictive and finally predictive to prescriptive, people analytics has come a long way. Predictive people analytics helps in forecasting future for effective decision-making, whereas prescriptive people analytics provides intelligent recommendations for the minimal next steps to obtain desired results. This chapter is an earnest attempt in exploring the people analytics and its journey from predictive analytics to prescriptive analytics. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Analytics; Descriptive analytics; People analytics; Predictive analytics; Prescriptive analytics","Behavioral research; Decision making; Personnel; 'current; Analytic; Business scenario; Decisions makings; Descriptive analytic; Employee turnover; Measuring performance; People analytic; Prescriptive analytic; Task automation; Predictive analytics"
"Kiu C.T.T.; Chan J.H.","Kiu, Chun Tung Thomas (58756316200); Chan, Jin Hooi (37010337500)","58756316200; 37010337500","Firm characteristics and the adoption of data analytics in performance management: a critical analysis of EU enterprises","2024","Industrial Management and Data Systems","124","2","","820","858","38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179347384&doi=10.1108%2fIMDS-07-2023-0430&partnerID=40&md5=e97db7496d0531f604aab94045ecab13","Purpose: This study aims to investigate the factors influencing the adoption of data analytics in performance management. By examining the role of organizational and environmental contexts, this study contributes to the existing literature by proposing a novel and detailed technology-organization-environment (TOE) model for the complex interplay between firm characteristics and the adoption of data analytics. The results offer valuable insights and practical implications for organizations seeking to leverage data analytics for effective performance management. Design/methodology/approach: The research draws upon a data set encompassing over 21,869 companies operating across all European Union member states. A multilevel logistic regression model was developed to evaluate the influence of organizational and environmental factors on the likelihood of adopting performance analytics in organizations. Findings: The findings indicate that the lack of awareness of the benefits of data analytics and its practical application to address specific business challenges is a significant barrier to its adoption. Organizational contexts, such as variable-pay systems, employee training, hierarchical structures and frequency of monetary rewards, also influence the adoption of data analytics. Research limitations/implications: The study informs managers about the strategic role of data analytics capabilities in performance management for improved business intelligence and driving data culture. Practical implications: The study helps managers understand the strategic role of data analytics capabilities in performance management, leading to improved business intelligence and fostering a data-driven culture in five key areas: structural alignment, strategic decision-making, resource allocation, performance improvement and change management. Originality/value: The study advances the TOE theory, making it a more detailed and complete framework, particularly applicable to the adoption of performance analytics. It identifies the main factors of adoption that play a crucial role in this process. © 2023, Emerald Publishing Limited.","Analytics; People analytics; Performance analytics; Performance management; TOE framework","Behavioral research; Data Analytics; Economics; Environmental technology; Hierarchical systems; Information management; Personnel training; Regression analysis; Analytic; Data analytics; Organizational context; People analytic; Performance; Performance analytic; Performance management; Strategic role; Technology  organization environments; Technology-organization-environment frameworks; Decision making"
"Polzer J.T.","Polzer, Jeffrey T. (6701551945)","6701551945","The rise of people analytics and the future of organizational research","2022","Research in Organizational Behavior","42","","100181","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147565731&doi=10.1016%2fj.riob.2023.100181&partnerID=40&md5=17a415a31d33a1c7f88ff9e2c109da47","Organizations are transforming as they adopt new technologies and use new sources of data, changing the experiences of employees and pushing organizational researchers to respond. As employees perform their daily activities, they generate vast digital data. These data, when combined with established methods and new analytic techniques, create unprecedented opportunities for studying human behavior at work and have fueled the rise of people analytics as a new institutional field of practice. In this chapter, I describe the emerging field of people analytics and new organizational phenomena that accompany the use of data and algorithms. These practices are affecting how individuals, groups, and organizations function, ranging from decision-making processes and work procedures, to communication and collaboration, to attempts to monitor and control employees. In each of these domains, I describe recent research and propose new research directions. Many of these domains intersect with the emerging field of Computational Social Science, in which disciplinary scholars are applying computational methods to an expanding array of digitized data, pursuing interests that extend far into the organizational domain. Organizational scholars are well-positioned to bridge organizational and disciplinary advances to stay at the forefront of research on the future of work. © 2023 The Authors","Algorithms; Computational social science; Culture; Decision-making; Meetings; Monitoring; Networks; Organizational behavior; People analytics; Teams",""
"Hickman L.; Saef R.; Ng V.; Woo S.E.; Tay L.; Bosch N.","Hickman, Louis (57188624116); Saef, Rachel (57191374197); Ng, Vincent (56489968900); Woo, Sang Eun (36810597600); Tay, Louis (34870886500); Bosch, Nigel (55790622900)","57188624116; 57191374197; 56489968900; 36810597600; 34870886500; 55790622900","Developing and evaluating language-based machine learning algorithms for inferring applicant personality in video interviews","2024","Human Resource Management Journal","34","2","","255","274","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105357479&doi=10.1111%2f1748-8583.12356&partnerID=40&md5=7e1c9676f4bebe7a6f04dcb14f8b6163","Organisations are increasingly relying on people analytics to aid human resources decision-making. One application involves using machine learning to automatically infer applicant characteristics from employment interview responses. However, management research has provided scant validity evidence to guide organisations' decisions about whether and how best to implement these algorithmic approaches. To address this gap, we use closed vocabulary text mining on mock video interviews to train and test machine learning algorithms for predicting interviewee's self-reported (automatic personality recognition) and interviewer-rated personality traits (automatic personality perception). We use 10-fold cross-validation to test the algorithms' accuracy for predicting Big Five personality traits across both rating sources. The cross-validated accuracy for predicting self-reports was lower than large-scale investigations using language in social media posts as predictors. The cross-validated accuracy for predicting interviewer ratings of personality was more than double that found for predicting self-reports. We discuss implications for future research and practice. © 2021 John Wiley & Sons Ltd.","big five; cross-validation; elastic net regression; LIWC; machine learning; personality traits; text mining; video interviews",""
"Rodrigues A.; Pedrosa I.","Rodrigues, Ana (57817600700); Pedrosa, Isabel (15019788100)","57817600700; 15019788100","The talent and (essential) role of people analytics; [O Talento e o Papel (Essencial) de People Analytics]","2022","Iberian Conference on Information Systems and Technologies, CISTI","2022-June","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134831646&doi=10.23919%2fCISTI54924.2022.9820531&partnerID=40&md5=2d572e9dce42445f1e1cc4b5a17bcc50","Understanding how talent is attracted to companies and organizations is relevant. Additionally, it is critical to understand what keeps talent in organizations, something that Human Resource Management professionals have regularly debated over the past two decades. People, especially the younger and better prepared, change jobs today in a much more dynamic way than in the past, forcing organizations to face global competition, through strategies to maintain the high satisfaction of their teams and anticipate the intention talent output. The technology sector is one of the most targeted: the turnover of people is higher than in most sectors. This article seeks to understand how data analysis can help Human Resources Managers to perform their work better, either by knowing their teams or using people analytics to predict the change in their teams. It is hoped that this work will be a contribution to HRM and technology professionals, two areas in which it is essential that they dialogue in order to promote a better and more effective functioning of teams, whatever the sector is. © 2022 IEEE Computer Society. All rights reserved.","Human Resources Management; People Analytics; Talent; Talent Management","Effective Functioning; Forcings; Global competition; Human resources management; Management professionals; People analytic; Resource managers; Talent; Talent management; Technology sectors; Human resource management"
