Source,Abstract
s,"Purpose: This study aims to investigate the factors influencing the adoption of data analytics in performance management. By examining the role of organizational and environmental contexts, this study contributes to the existing literature by proposing a novel and detailed technology-organization-environment (TOE) model for the complex interplay between firm characteristics and the adoption of data analytics. The results offer valuable insights and practical implications for organizations seeking to leverage data analytics for effective performance management. Design/methodology/approach: The research draws upon a data set encompassing over 21,869 companies operating across all European Union member states. A multilevel logistic regression model was developed to evaluate the influence of organizational and environmental factors on the likelihood of adopting performance analytics in organizations. Findings: The findings indicate that the lack of awareness of the benefits of data analytics and its practical application to address specific business challenges is a significant barrier to its adoption. Organizational contexts, such as variable-pay systems, employee training, hierarchical structures and frequency of monetary rewards, also influence the adoption of data analytics. Research limitations/implications: The study informs managers about the strategic role of data analytics capabilities in performance management for improved business intelligence and driving data culture. Practical implications: The study helps managers understand the strategic role of data analytics capabilities in performance management, leading to improved business intelligence and fostering a data-driven culture in five key areas: structural alignment, strategic decision-making, resource allocation, performance improvement and change management. Originality/value: The study advances the TOE theory, making it a more detailed and complete framework, particularly applicable to the adoption of performance analytics. It identifies the main factors of adoption that play a crucial role in this process. © 2023, Emerald Publishing Limited."
s,"Organizations are transforming as they adopt new technologies and use new sources of data, changing the experiences of employees and pushing organizational researchers to respond. As employees perform their daily activities, they generate vast digital data. These data, when combined with established methods and new analytic techniques, create unprecedented opportunities for studying human behavior at work and have fueled the rise of people analytics as a new institutional field of practice. In this chapter, I describe the emerging field of people analytics and new organizational phenomena that accompany the use of data and algorithms. These practices are affecting how individuals, groups, and organizations function, ranging from decision-making processes and work procedures, to communication and collaboration, to attempts to monitor and control employees. In each of these domains, I describe recent research and propose new research directions. Many of these domains intersect with the emerging field of Computational Social Science, in which disciplinary scholars are applying computational methods to an expanding array of digitized data, pursuing interests that extend far into the organizational domain. Organizational scholars are well-positioned to bridge organizational and disciplinary advances to stay at the forefront of research on the future of work. © 2023 The Authors"
s,"Organisations are increasingly relying on people analytics to aid human resources decision-making. One application involves using machine learning to automatically infer applicant characteristics from employment interview responses. However, management research has provided scant validity evidence to guide organisations' decisions about whether and how best to implement these algorithmic approaches. To address this gap, we use closed vocabulary text mining on mock video interviews to train and test machine learning algorithms for predicting interviewee's self-reported (automatic personality recognition) and interviewer-rated personality traits (automatic personality perception). We use 10-fold cross-validation to test the algorithms' accuracy for predicting Big Five personality traits across both rating sources. The cross-validated accuracy for predicting self-reports was lower than large-scale investigations using language in social media posts as predictors. The cross-validated accuracy for predicting interviewer ratings of personality was more than double that found for predicting self-reports. We discuss implications for future research and practice. © 2021 John Wiley & Sons Ltd."
s,"Understanding how talent is attracted to companies and organizations is relevant. Additionally, it is critical to understand what keeps talent in organizations, something that Human Resource Management professionals have regularly debated over the past two decades. People, especially the younger and better prepared, change jobs today in a much more dynamic way than in the past, forcing organizations to face global competition, through strategies to maintain the high satisfaction of their teams and anticipate the intention talent output. The technology sector is one of the most targeted: the turnover of people is higher than in most sectors. This article seeks to understand how data analysis can help Human Resources Managers to perform their work better, either by knowing their teams or using people analytics to predict the change in their teams. It is hoped that this work will be a contribution to HRM and technology professionals, two areas in which it is essential that they dialogue in order to promote a better and more effective functioning of teams, whatever the sector is. © 2022 IEEE Computer Society. All rights reserved."
s,"Recently, the field of human resource management (HRM) has undergone a significant transformation due to the impact of technological advances and increasing relevance of business analytics. Organizations worldwide are increasingly applying people analytics, which enables making more rational, objective and effective decisions about people based on the analysis of data. People analytics has a huge potential while dealing with unpredictable challenges organizations and their employees are facing today. On the one hand, people analytics can reveal the efficiency, effectiveness, and impact of the HRM function, especially emphasizing the strategic partnership role of human resource (HR) professionals. On the other hand, people analytics changes the way organizations identify, manage, develop and control their workforce. The term “people analytics” refers to a novel, evidence-based and data-driven approach to manage workforce. The focus is very much placed on workforce planning, recruitment and selection, development and training, and employee performance while analyzing data to establish causal relationships or other insights and accordingly drive actions by influencing the key decisions. However, applying people analytics involves numerous challenges revealing that not all organizations are on the same maturity level. Although previous research provides some theoretical insights regarding the implications of people analytics in HRM, empirical studies dealing with organizational examples and readiness to create business value through people analytics are nonetheless lacking. The chapter aims to reveal how people analytics is applied in the HRM field. While doing this, a qualitative research was conducted including 12 interviews with HR professionals from different organizations operating in various industries. The results revealed that organizations mainly used only descriptive analytics and the focus was more on HR metrics. In most cases, the decisions about workforce planning or employee remuneration were data-based. However, analytics was less used in employee selection and recruitment, and training and development areas. Not rare were the cases, when intuition of HR professionals or line managers drove the decisions. This chapter has strong practical implications seeing that the results can encourage organizations to rely more on people analytics to optimize the HRM function and add value to organizational success and employee well-being. In addition, the results draw attention to the potential challenges of people analytics organizations should take into considerations. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024."
s,"Knowledge is a crucial factor for organizations’ competitiveness in today's labour market and, through knowledge management, Human Resources Management (HRM) can be more useful and effective. For several reasons, Career Management is one of the HRM categories less structured and cared for by organizations. However, having information for the proper management of employees' careers is relevant and considered of high importance, given the impact it has on the development and retention of employees. The employees’ development includes increased knowledge, skills and abilities by each individual, which boosts the progression of his career. Managing knowledge from a perspective that accommodates career management seems to be structural for both organizations and their employees. Based on this premise, this article reviews the literature articulating five concepts: two from the knowledge theoretical field, such as Knowledge Management and Organizational Memory, and three from the HRM field, facing the topics of Talent Management, Career Management and People Analytics. The five concepts are explored, as are the relationships between them. The aim of this article translates into the interrelational description of the five concepts, to understand their common aspects and, thus, expand the approaches to Career Management. The concepts were linked in pairs, due to the absence of literature that addresses the five concepts simultaneously. The theoretical analysis allowed the construction of a conceptual model, which enables understanding of the conceptual convergences and divergences in the organizational and personal ecosystem, supported by local and global knowledge. The model presented will be useful to guide organizations in creating broad Knowledge Management systems, focusing on the people, thus enhancing their management and development. At the same time, it will also be useful for all employees since the model presented aims to contribute to the capitalization of their potential and personal achievement capacity within the organization. Future research may empirically validate the pertinence and applicability of this conceptual model. © 2022 Academic Conferences Limited. All rights reserved."
s,"This chapter examines and explores (or may be termed as pre-empt in the analytics terminology) the relevance of human resource (also popular as HR) analytics on the willingness of employees to enhance the effectiveness and efficiency of their performance. In this attempt, this chapter studies the issues pertaining to the PA or performance appraisal system. This also illustrates factors that impact the willingness of employees to enhance performance and tend to determine how analytics of Human Resources may prove a proposed recommendation to handle similar matters. © 2023 Nova Science Publishers, Inc. All rights reserved."
s,"Turnover contagion has created salient challenges for companies and society as turnover itself causes more turnover. Technically, due to the nonlinear growth of overall turnover rate within a short time, turnover is difficult to accurately predict. As a result, predicting and managing turnover contagion have become key issues in people analytics systems. However, existing studies on turnover contagion has primarily focused on its consequence such as time-lagged turnover, while how to identify turnover contagion effect and leverage it to improve the interpretability of turnover prediction algorithm remains under explored. Building upon the behavioral contagion theory, this research-in-progress paper proposes using machine learning method to calculate the turnover contagion effect based on the susceptible-infective epidemic model. This study lays a theoretical foundation to leverage social network data to examine turnover contagion, and practically contributes to managerial practice in designing turnover prediction systems for both efficiency and interpretability. © 2022 28th Americas Conference on Information Systems, AMCIS 2022. All Rights Reserved."
s,"Firms have recognized the opportunities presented by HR analytics; however, it is challenging for HR to convert their available data (sources) into meaningful strategical value. Moreover, research on the implementation and application of HR analytics is still in its infancy. Drawing on the socio-technical system perspective, we examine the implementation and application of HR analytics in firms. Based on a qualitative study with 17 HR analytics experts, we find that a shift to a more process-oriented perspective on HR analytics is needed. More precisely, besides the requirements for the analysis of data, the actual roles in the process of implementing and applying HR analytics need to be defined. In particular, this implies the interaction between the specialist department, the HR business partner and the HR analytics function. From a managerial perspective, we propose a process model for the future implementation and application of HR analytics. © 2022, The Author(s)."
s,"Technological advances in the field of artificial intelligence (AI) are heralding a new era of analytics and data-driven decision-making. Organisations increasingly rely on people analytics to optimise human resource management practices in areas such as recruitment, performance evaluation, personnel development, health and retention management. Recent progress in the field of AI and ever-increasing volumes of digital data have raised expectations and contributed to a very positive image of people analytics. However, transferring and applying the efficiency-driven logic of analytics to manage humans carries numerous risks, challenges, and ethical implications. Based on a theorising review our paper analyses perils that can emerge from the use of people analytics. By disclosing the underlying assumptions of people analytics and offering a perspective on current and future technological advancements, we identify six perils and discuss their implications for organisations and employees. Then, we illustrate how these perils may aggravate with increasing analytical power of people analytics, and we suggest directions for future research. Our theorising review contributes to information system research at the intersection of analytics, artificial intelligence, and human-algorithmic management. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group."
s,"At the intersection of technology and marketing, this study develops a framework to unobtrusively detect salespeople’s faces and simultaneously extract six emotions: happiness, sadness, surprise, anger, fear, and disgust. The authors analyze 99,451 sales pitches on a livestream retailing platform and match them with actual sales transactions. Results reveal that each emotional display, including happiness, uniformly exhibits a negative U-shaped effect on sales over time. The maximum sales resistance appears in the middle rather than at the beginning or end of sales pitches. Taken together, the results show that in one-to-many screen-mediated communications, salespeople should sell with a straight face. In addition, the authors derive closed-form formulae for the optimal allocation of the presence of a face and emotional displays over the presentation span. In contrast to the U-shaped effects, the optimal face presence wanes at the start, gradually builds to a crescendo, and eventually ebbs. Finally, the study shows how to objectively rank salespeople and circumvent biases in performance appraisals, thereby making novel contributions to people analytics. This research integrates new types of data and methods, key theoretical insights, and important managerial implications to inform the expanding opportunity that livestream e-commerce presents to marketers to create, communicate, deliver, and capture value. © American Marketing Association 2021."
s,"For years we have known that effective organizational culture is critical to ensuring revenue growth, employee retention, and even stock price acceleration. Yet, culture change is hard. Today, in the hybrid world, most employees still spend the majority of their time working within small work teams, but team members are often remote from one another. These employee interactions are essential to sharing and modeling the norms and behaviors necessary to cultivate the desired culture. Combining behavioral data with the use of organizational network analysis helps to overcome these limitations and provides a deeper understanding of the employee cultural experience—even in the hybrid context. In our research, we evaluated 10 attributes critical to an organization's culture from more than 50,000 employees across three years. Using passive data, we also re-constructed the employee network based on primary interactions. Our research highlighted three critical cultural patterns that will help to more deeply evaluate culture in a hybrid context, but even more importantly,help target local solutions that can be quickly implemented. We call these the three“C's” of cultivating culture. We show that organizational culture clusters in the employee network, is contagious among employees, and is contextually dependent.We discuss our key insights on the three C's, concluding with practical applications for leaders applying these insights in their organization. © 2023 Elsevier Inc."
s,"This article is about a training project within a leading Italian insurance company, based on people analytics and a blended learning program enhanced by e-REAL® and artificial intelligence. The intervention started with an Organizational Network Analysis regarding informal and spontaneous communication from which skills and ideas arise: this is the starting point that allows the HR Team to take decisions and outline strategies to support growth. Then, a Sentiment Analysis was performed, in order to track and monitor the climate in different clusters within the company, by mapping sentiment through natural language processing algorithms (all data anonymized). This step also opened to a Tensions Analysis targeting expressions of anger or misalignment with the corporate culture. As a further step, an Employees Potential Chart was developed. As an output of this phase, the HR Team was provided with essential metrics such as performance peaks, relational networks, communication and collaboration among teams and departments, key competencies, and skills. Then, a learning and development plan based on people analytics was designed: the main elements were interactive tutorials and immersive online experiences made by a multimedia and visual storytelling approach, as well as an extensive interaction within an escape room animated also by realistic avatars. A number of other methodologies were introduced as a further step: first of all training on-the-job, coaching, and mentoring. All the interventions were based on a large amount of people analytics collected from gamified activities, allowing for micro-targeted and highly precise interventions that are very innovative in the field of learning and development. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG."
s,"Does human reflexivity disappear as datafication and automation expand and machines take over decision making? In trying to find answers to this question, we take our lead from recent debates about People Analytics and analyze how the use of algorithmically driven digital technologies like facial recognition and drones in work-organizations and societies at large shape the conditions of ethical conduct. Linking the concepts of algorithmic governmentality and space of ethics, we analyze how such technologies come to form part of governing practices in specific contexts. We conclude that datafication and automation have huge implications for human reflexivity and the capacity to enact responsibility in decision making. But that itself does not mean that the space for ethical conduct disappears, which is the impression left in some literatures, but rather that is modified and (re) constituted in the interplay of mechanisms of closure (like automating decision making, black boxing and circumventing reflexivity), and opening (such as disclosing contingent values and interests in processes of problematization, contestation and resistance). We suggest that future research investigates in more detail the dynamics of closure and opening in empirical studies of the use and effects of algorithmically driven digital technologies in organizations and societies. © The Author(s) 2022."
s,"In this article, previous research findings were cumulated, indicating that immersive 3D experiences can be achieved by generative artificial intelligence and remote sensing tools, employee performance metrics, and real-time predictive analytics. The contribution to the literature on generative artificial intelligence and movement and behavior tracking tools shaping career development, virtual team-works, and employee expectations and productivity is by showing that immersive interconnected virtual experiences can be achieved by generative artificial intelligence and people analytics tools, realistic movement simulations, and mobile biometric and sentiment data. Throughout July 2023, a quantitative literature review of the Web of Science, Scopus, and ProQuest databases was performed, with search terms including “generative artificial intelligence and virtual recruitment tools” + “wearable self-tracking and augmented reality devices,” “multimodal behavioral analytics,” and “virtual workplaces.”As research published in 2023 was inspected, only 169 articles satisfied the eligibility criteria, and 50 mainly empirical sources were selected. Data visualization tools: Dimensions (bibliometric mapping) and VOSviewer (layout algorithms). Reporting quality assessment tool: PRISMA. Methodological quality assessment tools include: AXIS, Dedoose, ROBIS, and SRDR. © 2023, Addleton Academic Publishers. All rights reserved."
s,"Increasingly digital workplaces enable advanced people analytics (PA) that can improve work, but also implicate privacy risks for employees. These systems often depend on employees sharing their data voluntarily. Thus, to leverage the potential benefits of PA, companies have to manage employees’ disclosure decision. In literature, we identify two main strategies: increase awareness or apply appeal strategies. While increased awareness may lead to more conservative data handling, appeal strategies can promote data sharing. Yet, to our knowledge, no systematic overview of appeal strategies for PA exists. Thus, we develop an initial taxonomy of strategies based on a systematic literature review and interviews with 18 experts. We describe strategies in the dimensions of values, benefits, and incentives. Thereby, we present concrete options to increase the appeal of PA for employees. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG."
s,"The digital transformation of organizations is boosting workplace networking and collaboration while making it “observable” with unprecedented timeliness and detail. However, the informational and managerial potential of work datafication is still largely unutilized in human resource management (HRM) and its benefits, both at the individual and the organizational level, remain largely unexplored. Our research focuses on the relationship between digitally tracked work behaviors and employee attitudes and, in so doing, it explores work datafication as a source of data-driven HRM policies and practices. As a chapter of a wider research program, this paper presents some data analysis we performed on a collection of enterprise collaboration software (ECS) data, in search for promising correlations between behavioral and relational (digital) work patterns and employee attitudes. To this end, the digital actions performed by 106 employees in one year are transformed into a graph representation in order to analyze data under two different points of view: the individual (behavioral) perspective, according to the user who performed the action and the performed action, and the social (relational) perspective, making explicit the interactions between users and the objects of their actions. Different employees’ rankings are thus derived and correlated with their attitudes. Finally, we discuss the obtained results and their implications in terms of people analytics and data-driven HRM. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG."
